region,year,constr,vrp,prod_index,materials,act_dir,cpi
Псковская область,2017,99.19,259.41470000000004,,105.5,16.6675,102.44
Псковская область,2017,99.19,259.41470000000004,,104.46583333333332,16.6675,102.44
Псковская область,2017,99.19,259.41470000000004,,105.96333333333332,16.6675,102.44
Санкт-Петербург,2017,103.72,3866.4,99.82,104.67500000000003,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,99.82,105.11500000000001,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,99.82,105.21583333333332,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,99.82,105.2625,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,99.82,105.205,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,99.82,105.09416666666665,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,99.82,107.27083333333331,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,99.82,104.56083333333332,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,99.82,104.93166666666666,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,100.42,104.67500000000003,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,100.42,105.11500000000001,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,100.42,105.21583333333332,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,100.42,105.2625,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,100.42,105.205,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,100.42,105.09416666666665,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,100.42,107.27083333333331,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,100.42,104.56083333333332,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,100.42,104.93166666666666,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,100.24,104.67500000000003,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,100.24,105.11500000000001,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,100.24,105.21583333333332,16.666666666666668,103.65
Санкт-Петербург,2017,103.72,3866.4,100.24,105.2625,16.666666666666668,103.65
